t,adams_bashforth,euler,heun,pred_corr,runge_kutta4,runge_kutta5
1.8289999999999087,7.327471962526033e-14,0.00022668499427735966,5.842238248732201e-08,6.517009154549669e-14,6.750155989720952e-14,6.550315845288424e-14
1.8299999999999086,7.338574192772285e-14,0.0002268344058821148,5.844960027090451e-08,6.52811138479592e-14,6.761258219967203e-14,6.561418075534675e-14
1.8309999999999085,7.338574192772285e-14,0.0002269836542697634,5.847677342352142e-08,6.52811138479592e-14,6.761258219967203e-14,6.561418075534675e-14
1.8319999999999084,7.349676423018536e-14,0.00022713273970775827,5.850390216721735e-08,6.539213615042172e-14,6.772360450213455e-14,6.572520305780927e-14
1.8329999999999083,7.349676423018536e-14,0.00022728166246255288,5.8530986390969986e-08,6.539213615042172e-14,6.772360450213455e-14,6.572520305780927e-14
1.8339999999999081,7.360778653264788e-14,0.00022743042280060077,5.8558026427846244e-08,6.550315845288424e-14,6.783462680459706e-14,6.583622536027178e-14
1.834999999999908,7.37188088351104e-14,0.00022757902098724525,5.858502227784612e-08,6.561418075534675e-14,6.794564910705958e-14,6.59472476627343e-14
1.835999999999908,7.382983113757291e-14,0.00022772745728760757,5.861197405199192e-08,6.572520305780927e-14,6.80566714095221e-14,6.605826996519681e-14
1.8369999999999078,7.382983113757291e-14,0.00022787573196592081,5.8638881750283645e-08,6.572520305780927e-14,6.80566714095221e-14,6.605826996519681e-14
1.8379999999999077,7.394085344003543e-14,0.00022802384528619601,5.8665745594765895e-08,6.583622536027178e-14,6.816769371198461e-14,6.616929226765933e-14
1.8389999999999076,7.394085344003543e-14,0.000228171797511445,5.869256547441637e-08,6.583622536027178e-14,6.816769371198461e-14,6.616929226765933e-14
1.8399999999999075,7.405187574249794e-14,0.00022831958890467963,5.871934183332428e-08,6.59472476627343e-14,6.827871601444713e-14,6.628031457012185e-14
1.8409999999999074,7.416289804496046e-14,0.00022846721972780148,5.874607444944502e-08,6.605826996519681e-14,6.838973831690964e-14,6.639133687258436e-14
1.8419999999999073,7.416289804496046e-14,0.0002286146902422681,5.877276354482319e-08,6.605826996519681e-14,6.838973831690964e-14,6.639133687258436e-14
1.8429999999999072,7.427392034742297e-14,0.00022876200070920394,5.8799409230481103e-08,6.616929226765933e-14,6.850076061937216e-14,6.650235917504688e-14
1.843999999999907,7.427392034742297e-14,0.0002289091513889563,5.8826011617441054e-08,6.616929226765933e-14,6.850076061937216e-14,6.650235917504688e-14
1.844999999999907,7.438494264988549e-14,0.00022905614254142836,5.885257081672535e-08,6.628031457012185e-14,6.861178292183467e-14,6.661338147750939e-14
1.8459999999999068,7.438494264988549e-14,0.00022920297442574622,5.887908671731168e-08,6.628031457012185e-14,6.861178292183467e-14,6.661338147750939e-14
1.8469999999999067,7.4495964952348e-14,0.00022934964730081386,5.890555965226696e-08,6.639133687258436e-14,6.872280522429719e-14,6.672440377997191e-14
1.8479999999999066,7.4495964952348e-14,0.0002294961614245361,5.8931989621591185e-08,6.639133687258436e-14,6.872280522429719e-14,6.672440377997191e-14
1.8489999999999065,7.460698725481052e-14,0.00022964251705481775,5.895837673630666e-08,6.650235917504688e-14,6.88338275267597e-14,6.683542608243442e-14
