proper,id,hip,hd,hr,gl,bf,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
Dschubba,78165,78401,143275,5953,,7Del Sco,16.005557,-22.62171,150.6024,-8.67,-36.9,-7,2.29,-3.599,B0.2IV,-0.117,-69.332609,-120.492107,-57.928452,2.98E-06,1.79E-05,-2.21E-05,4.190245125,-0.394823319,-4.20E-08,-1.79E-07,Del,7,Sco,1,78165,,2396.624529,Del,2.299,2.279
Mirzam,30251,30324,44743,2294,,2Bet CMa,6.378329,-17.955918,151.0574,-3.45,-0.47,34,1.98,-3.916,B1II/III,-0.24,-14.209731,142.995999,-46.568852,-7.50E-07,3.31E-05,-1.11E-05,1.669842696,-0.313389884,-1.67E-08,-2.28E-09,Bet,2,CMa,1,30251,,3209.223768,Bet,1.999,1.969
Hassaleh,22961,23015,31398,1577,,3Iot Aur,4.949894,33.16609,151.2859,3.63,-18.54,18,2.69,-3.209,K3IIvar,1.49,34.378539,121.884168,82.763748,3.64E-06,2.27E-05,-1.31E-06,1.295879211,0.578857475,1.76E-08,-8.99E-08,Iot,3,Aur,1,22961,,1673.400907,,,
Betelgeuse,27919,27989,39801,2061,,58Alp Ori,5.919529,7.407063,152.6718,27.33,10.86,21,0.45,-5.469,M2Ib,1.5,3.189296,151.364387,19.682142,-1.98E-05,2.07E-05,1.07E-05,1.549729118,0.129277632,1.32E-07,5.27E-08,Alp,58,Ori,1,27919,,13415.28798,Alp,0.571,0.281
Mirphak,15824,15863,20902,1017,,33Alp Per,3.405378,49.86118,155.2795,24.11,-26.01,-2,1.79,-4.166,F5Ib,0.481,62.885098,77.880689,118.708804,-5.55E-06,2.20E-05,-1.42E-05,0.891526004,0.870241752,1.17E-07,-1.26E-07,Alp,33,Per,1,15824,,4040.173354,,,
Albaldah,93846,94141,178524,7264,,41Pi  Sgr,19.162731,-21.023615,156.25,-1.17,-36.83,-10,2.88,-3.089,F2II/III,0.377,43.714239,-139.143552,-56.055078,-6.71E-06,1.84E-05,-2.24E-05,5.016791345,-0.366931299,-5.67E-09,-1.79E-07,Pi,41,Sgr,1,93846,,1498.304211,,,
Sadalmelik,108728,109074,209750,8414,,34Alp Aqr,22.096399,-0.319851,160.5136,17.9,-9.93,8,2.95,-3.078,G2Ib,0.969,140.987693,-76.722268,-0.896054,1.38E-05,8.34E-06,-7.77E-06,5.784823674,-0.005582447,8.68E-08,-4.81E-08,Alp,34,Aqr,1,108728,,1483.200967,,,
Sadalsuud,105936,106278,204867,8232,,22Bet Aqr,21.525982,-5.571172,164.7446,22.79,-6.7,7,2.9,-3.184,G0Ib,0.828,130.759282,-98.929336,-15.993766,1.63E-05,1.05E-05,-6.02E-06,5.635488812,-0.097235298,1.10E-07,-3.25E-08,Bet,22,Aqr,1,105936,,1635.309652,,,
Cih,4417,4427,5394,264,,27Gam Cas,0.945143,60.71674,168.3502,25.65,-3.82,-7,2.15,-3.981,B0IV:evar,-0.046,79.836717,20.168018,146.837047,-5.89E-06,2.01E-05,-7.77E-06,0.247437951,1.059707029,1.24E-07,-1.85E-08,Gam,27,Cas,1,4417,,3407.218617,Gam,2.173,2.133
Antares,80519,80763,148478,6134,,21Alp Sco,16.490128,-26.432002,169.7793,-10.16,-23.21,-3,1.06,-5.089,M1Ib + B2.5V,1.865,-58.542602,-140.307591,-75.574766,-3.38E-06,1.36E-05,-1.57E-05,4.317105466,-0.461325471,-4.93E-08,-1.13E-07,Alp,21,Sco,1,80519,,9453.66046,Alp,1.155,0.995
Shaula,85665,85927,158926,6527,,35Lam Sco,17.560145,-37.103821,175.1313,-8.9,-29.95,-3,1.62,-4.597,B1.5IV+...,-0.231,-16.048583,-138.749793,-105.649898,-5.46E-06,1.85E-05,-1.84E-05,4.597235152,-0.647583843,-4.31E-08,-1.45E-07,Lam,35,Sco,1,85665,,6008.969505,Lam,1.656,1.596
