,Name,Epoch,a,e,i,omega,Omega,M,H,G
5017,Tenmu,58600,2.1590897,0.0590716,3.4075,352.36943,30.68436,232.8675323,14.2,0.15
5018,Erfjord,58600,2.4253031,0.07457602,5.57235,273.48623,243.65317,328.4708501,13.1,0.15
5019,Asimov,58600,2.1540263,0.21263512,1.10261,131.67987,197.1717,238.0018265,14.6,0.15
5020,Krylania,58600,3.2006239,0.13731491,2.34751,321.69286,103.23531,147.5221272,12.5,0.15
5021,Roccapalumba,58600,3.1475396,0.08572617,11.06101,67.76434,223.00371,18.2700084,11.7,0.15
5022,Agapenor,58600,5.1711173,0.05265948,11.78637,84.94615,308.33223,277.10983439999995,10.4,0.15
5023,Bechmann,58600,3.2245162,0.0539789,14.60702,121.13634,352.4173600000001,188.6600198,11.8,0.15
5025,Martes,58600,2.3771751,0.24258049,4.28443,17.597479999999994,304.768,236.5126257,13.9,0.15
5026,Androgeos,58600,5.3033266,0.06538109,31.44607,344.40971,78.22553,252.3364223,9.6,0.15
5027,Halaesus,58600,5.2626526,0.13049543,21.47576,11.30354,44.03373,265.2584212,10.2,0.15
5028,Ireland,58600,2.9333099,0.09378628,19.36039,332.30183,28.71696,183.043714,12.3,0.15
5029,Gyldenkerne,58600,2.2626217,0.09138816,8.87988,208.41685,25.85998,162.8017261,13.7,0.15
5030,Svejcar,58600,2.4361498,0.1255847,2.34152,166.13478,64.57963000000001,192.8827063,14.1,0.15
5031,Conradhirsh,58600,3.0037273,0.1072492,10.5709,208.25636,183.61072,111.6160845,12.7,0.15
5032,Mistral,58600,2.9209744,0.05523494,2.51106,141.65303,143.12783000000005,303.9995509,12.4,0.15
5033,Joeharrington,58600,2.304129,0.18137471,4.30585,328.79555,309.52043,15.9451899,13.5,0.15
5034,Swift,58600,2.6123258,0.15558355,13.5068,52.57529,51.96947,136.1365486,12.3,0.15
5035,Tuttle,58600,3.14433,0.18300398,2.92946,57.00579000000001,105.07628,245.6958496,12.0,0.15
5036,Habing,58600,2.2731303,0.11182416,7.02819,280.57652,165.952,320.49224639999994,13.3,0.15
5037,Overbeek,58600,2.3111759,0.28141289,10.92799,219.51895,65.65774,43.677882200000006,13.8,0.15
5038,Rosenkavalier,58600,3.0139669,0.055284800000000016,11.42012,178.30015,83.97769,271.1492244,12.3,0.15
5039,Rabinowitz,58600,2.4171909,0.22658433,24.36122,149.68721000000005,175.67438,164.4294332,12.9,0.15
5040,Theotes,58600,5.1866692,0.03515599,10.5854,106.63411,29.87975,205.639834,10.7,0.15
5041,Colpa,58600,3.0082427,0.04720404,11.05504,178.89202,86.46714,217.3733713,11.5,0.15
5042,Zadornov,58600,3.1114326,0.16365295,1.86618,295.28198,50.81015,55.78354100000001,12.8,0.15
5043,Shestaka,58600,2.2407953,0.10602915,5.84199,43.53801,344.55599,97.2889514,13.1,0.15
5044,Hoyin,58600,3.1322195,0.19277882,2.5699400000000003,262.00456,130.65048000000002,108.662152,12.9,0.15
5045,Carletonmoore,58600,2.5792447,0.06623956,13.37596,188.55706,221.84163,200.24647,13.1,0.15
5046,Zanda,58600,2.5311032,0.13659237,5.47577,28.5192,6.43447,301.9617269,13.4,0.15
5047,Moriarty,58600,2.6272634,0.17177548,1.3922,272.91654,301.6232100000001,322.5898166,13.2,0.15
5048,Sherlock,58600,2.1986205,0.16142997,2.94271,316.60232,50.13412,192.8398824,13.6,0.15
5049,Doctorwatson,58600,2.4005799,0.11911835,0.86587,138.83245,263.89041000000003,171.0927923,13.6,0.15
5050,Ralph,58600,2.2936301,0.14283587,5.87302,48.67221,269.90162000000004,16.280137,13.4,0.15
5051,Nancyruth,58600,2.2576494,0.1967169,5.7542300000000015,35.98169,327.52019,79.3164046,14.5,0.15
5052,Chladni,58600,2.3994585,0.16816321,11.50577,11.96787,150.17449,77.6917339,13.2,0.15
5053,Keil,58600,2.453361,0.14835218,7.45713,86.4661,355.01141,267.0726279,14.2,0.15
5054,Opekushin,58600,3.0945684,0.16409885,2.90116,174.27763000000004,132.67346,30.5119682,12.5,0.15
5055,Rahua,58600,2.6395655,0.20020555,7.26123,21.0425,64.9115,148.0778834,13.3,0.15
5056,Weeks,58600,3.1256876,0.14789258,7.00489,283.54377,157.16583,353.580358,12.4,0.15
5057,Tarrega,58600,2.2539464,0.23170667,7.17643,245.093,108.93828,111.5753571,13.8,0.15
5058,Saroma,58600,2.5932767,0.13417517,12.65403,158.24393,295.20621,198.5430888,12.4,0.15
5059,Yoneta,58600,2.6161853,0.1892713,1.9673,88.34666,355.41803,179.0637905,14.0,0.15
5060,McIntosh,58600,3.0649703,0.06933749,8.73217,212.69818,240.68221,346.304908,12.7,0.15
5061,Glennmiller,58600,2.2599192,0.16754171,3.29889,15.07322,19.29127,36.792167,13.8,0.15
5062,Monteverdi,58600,2.3901337,0.22858165,1.53585,55.9741,326.63403,153.2229748,14.0,0.15
5063,Tanchozuru,58600,2.2529944,0.18469129,6.556610000000001,118.36802,157.00648,130.3336159,13.3,0.15
5064,Johnstone,58600,2.5144867,0.04660106,6.53875,174.6368,359.35514,129.3749798,13.2,0.15
5065,Garradd,58600,1.9363018,0.15444238,41.44715,184.76026,82.30393000000002,246.8675017,14.1,0.15
5066,Occidental,58600,2.8025647,0.07775174,7.38328,24.61479,203.91911,118.5868663,12.6,0.15
5067,Cragg,58600,3.0326164,0.06267807,11.61984,217.12925,208.56194,75.7477743,12.1,0.15
5068,Tokeidai,58600,2.251221,0.13180949,5.0002900000000015,81.45315,178.88269,123.437243,13.0,0.15
5069,Arai,58600,3.1079193,0.06572018,6.033930000000002,188.31163,339.89486,305.7053243000001,11.7,0.15
5070,Schoenmaker,58600,3.1826192,0.18163613,10.09024,297.76554,168.48782,270.2850917,12.7,0.15
5071,Hioki,58600,2.9119577,0.08560685,2.01518,0.3327,11.07673,234.0083057,12.7,0.15
5072,Junttura,58600,2.2263123,0.10028508,6.61185,184.50133,14.61541,300.6156066000001,13.2,0.15
5073,Goetzoertel,58600,2.9908806,0.10400339999999997,8.56528,87.1265,309.64202,111.4561458,12.0,0.15
5074,Goryachev,58600,2.4138644,0.17400953,1.32598,184.00775,261.74046,29.45663,13.7,0.15
5075,Lebedev-Kumach,58600,2.4154179,0.23569071,9.48488,220.11114,189.49275,23.3857322,13.3,0.15
5076,Favaloro,58600,2.230398,0.18355217,5.4921,337.85168,324.07879,151.0894046,13.8,0.15
5077,Solovjev-Sedoj,58600,2.6687257,0.21431564,2.84875,124.75949,224.40501,87.8139267,13.8,0.15
5078,Brubeck,58600,2.6433164,0.20409495,10.77511,246.22117000000003,268.98252,109.8359037,12.8,0.15
5079,Oja,58600,2.2420253,0.12489846,5.44968,89.22717,344.7864600000001,13.0053975,12.6,0.15
5080,Sanguin,58600,2.3189238,0.11366147,13.19839,163.39829,83.26489000000002,146.28885259999996,12.6,0.15
5081,Nihonsyoki,58600,3.1307469,0.12805668,2.95161,55.27866,103.2213,210.0228257,13.0,0.15
5082,Irinara,58600,2.552755,0.07888627,14.75209,239.92235,321.26933,89.24596899999997,12.6,0.15
5083,Gnedin,58600,3.148956,0.10206233,7.43485,115.05964,41.9308,227.3116837,12.3,0.15
5084,Hippocrene,58600,2.2563662,0.17927125,4.85521,354.63862,317.08134,112.9515284,14.2,0.15
5085,Demin,58600,2.1766133,0.11397687,3.39374,82.29181,183.17551,310.129271,13.9,0.15
5086,Emel'yanov,58600,2.7439589,0.00525176,4.90821,144.63342,190.89222,1.0132164,13.1,0.15
5087,Tancredi,58600,3.1060907,0.15724961,0.58401,84.56186,5.74562,334.0826407,12.6,0.15
5088,Nadherna,58600,2.7930532,0.07843607,13.01063,127.44498,345.13744,67.1548622,12.5,0.15
5089,Wyeth,58600,2.5305404,0.29210729,9.58419,231.21216,144.40528,342.6853068,12.9,0.15
5090,Isakovskij,58600,2.7830835,0.01206731,3.1985200000000003,316.44586,270.00515,159.6066105,12.6,0.15
5091,Manara,58600,3.1982961,0.05886052,16.10006,195.71782,359.14259,168.85731,11.8,0.15
